project,bug_id,n_relevant_testcase
JacksonDatabind,106,300
JacksonDatabind,107,300
JacksonDatabind,108,300
JacksonDatabind,109,300
JacksonDatabind,110,217
JacksonDatabind,111,300
JacksonDatabind,112,300
JacksonXml,1,134
JacksonXml,2,108
JacksonXml,3,136
JacksonXml,4,138
JacksonXml,5,163
JacksonXml,6,179
Jsoup,1,129
Jsoup,2,129
Jsoup,3,146
Jsoup,4,170
Jsoup,5,168
Jsoup,6,186
Jsoup,7,191
Jsoup,8,192
Jsoup,10,196
Jsoup,11,172
Jsoup,12,174
Jsoup,13,239
Jsoup,14,227
Jsoup,15,232
Jsoup,16,239
Jsoup,18,243
Jsoup,19,17
Jsoup,20,20
Jsoup,21,246
Jsoup,22,300
Jsoup,23,280
Jsoup,24,276
Jsoup,26,21
Jsoup,27,20
Jsoup,28,300
Jsoup,29,300
Jsoup,30,22
Jsoup,31,300
Jsoup,32,300
Jsoup,33,300
Jsoup,34,300
Jsoup,35,300
Jsoup,36,27
Jsoup,37,300
Jsoup,38,300
Jsoup,39,40
Jsoup,40,300
Jsoup,41,300
Jsoup,42,300
Jsoup,43,300
Jsoup,44,300
Jsoup,45,300
Jsoup,46,300
Jsoup,47,300
Jsoup,48,26
Jsoup,49,300
Jsoup,50,161
Jsoup,51,300
Jsoup,52,300
Jsoup,53,300
Jsoup,54,4
Jsoup,55,300
Jsoup,56,300
Jsoup,57,300
Jsoup,58,300
Jsoup,59,300
Jsoup,61,300
Jsoup,62,300
Jsoup,63,300
Jsoup,64,300
Jsoup,65,300
Jsoup,66,300
Jsoup,67,300
Jsoup,68,300
Jsoup,69,300
Jsoup,70,300
Jsoup,71,300
Jsoup,72,300
Jsoup,73,5
Jsoup,74,300
Jsoup,75,300
Jsoup,76,300
Jsoup,77,300
Jsoup,78,231
Jsoup,79,300
Jsoup,80,300
Jsoup,81,236
Jsoup,82,241
Jsoup,83,300
Jsoup,84,6
Jsoup,86,300
Jsoup,87,300
Jsoup,88,300
Jsoup,89,300
Jsoup,90,62
Jsoup,91,300
Jsoup,92,300
Jsoup,93,300
JxPath,1,143
JxPath,2,145
JxPath,3,142
JxPath,4,156
JxPath,5,167
JxPath,6,171
JxPath,7,37
JxPath,8,38
JxPath,9,173
JxPath,10,39
JxPath,11,60
JxPath,12,174
JxPath,13,175
JxPath,14,119
JxPath,15,213
JxPath,16,218
JxPath,17,66
JxPath,18,220
JxPath,19,198
JxPath,20,40
JxPath,21,185
JxPath,22,209
Lang,1,185
Lang,3,184
Lang,4,137
Lang,5,13
Lang,6,142
Lang,7,178
Lang,8,112
Lang,9,125
Lang,10,124
Lang,11,11
Lang,12,10
Lang,13,157
Lang,14,300
Lang,15,10
Lang,16,176
Lang,17,45
Lang,19,32
Lang,20,300
Lang,21,116
Lang,22,25
Lang,24,122
Lang,26,93
Lang,27,116
Lang,28,20
Lang,29,300
Lang,30,300
Lang,31,300
Lang,32,47
Lang,33,255
Lang,34,300
Lang,35,300
Lang,36,116
Lang,37,300
Lang,38,59
Lang,39,300
Lang,40,300
Lang,41,241
Lang,42,54
Lang,43,7
Lang,44,20
Lang,45,82
Lang,46,87
Lang,47,207
Lang,49,25
Lang,50,35
Lang,51,190
Lang,52,74
Lang,53,31
Lang,54,12
Lang,55,6
Lang,56,33
Lang,57,11
Lang,58,210
Lang,59,187
Lang,60,186
Lang,61,185
Lang,62,47
Lang,63,16
Lang,64,75
Lang,65,30
Math,1,300
Math,2,10
Math,3,300
Math,4,52
Math,5,183
Math,6,197
Math,7,139
Math,8,22
Math,9,35
Math,10,300
Math,11,10
Math,13,58
Math,14,61
Math,15,300
Math,16,300
Math,17,88
Math,18,26
Math,19,25
Math,20,24
Math,21,14
Math,22,72
Math,23,17
Math,24,16
Math,25,7
Math,26,213
Math,27,213
Math,28,26
Math,29,72
Math,30,3
Math,31,215
Math,32,23
Math,33,28
Math,34,24
Math,35,12
Math,36,94
Math,37,178
Math,38,19
Math,39,71
Math,40,82
Math,41,158
Math,42,27
Math,43,53
Math,44,133
Math,45,300
Math,46,137
Math,47,137
Math,48,5
Math,49,35
Math,50,5
Math,51,5
Math,52,28
Math,53,119
Math,54,64
Math,55,32
Math,56,5
Math,57,4
Math,58,8
Math,59,300
Math,60,14
Math,61,6
Math,62,2
Math,63,300
Math,64,57
Math,65,77
Math,66,10
Math,67,2
Math,68,44
Math,69,15
Math,70,16
Math,71,116
Math,72,195
Math,73,195
Math,74,56
Math,75,8
Math,76,17
Math,77,278
Math,78,118
Math,79,300
Math,80,36
Math,81,35
Math,82,14
Math,83,17
Math,84,5
Math,85,73
Math,86,12
Math,87,16
Math,88,15
Math,89,7
Math,90,7
Math,91,62
Math,92,300
Math,93,300
Math,94,300
Math,95,19
Math,96,101
Math,97,110
Math,98,119
Math,99,300
Math,100,48
Math,101,35
Math,102,17
Math,103,12
Math,105,9
Math,106,16
Mockito,1,300
Mockito,2,31
Mockito,3,300
Mockito,4,300
Mockito,5,26
Mockito,6,300
Mockito,7,46
Mockito,8,45
Mockito,9,300
Mockito,10,300
Mockito,11,300
Mockito,12,20
Mockito,13,300
Mockito,14,300
Mockito,15,23
Mockito,16,300
Mockito,17,300
Mockito,18,300
Mockito,19,300
Mockito,20,300
Mockito,21,17
Mockito,22,300
Mockito,23,300
Mockito,24,300
Mockito,25,300
Mockito,27,300
Mockito,28,29
Mockito,29,58
Mockito,30,300
Mockito,31,300
Mockito,32,300
Mockito,33,300
Mockito,34,300
Mockito,35,300
Mockito,36,300
Mockito,37,300
Mockito,38,102
Time,1,300
Time,2,300
Time,3,300
Time,4,300
Time,5,300
Time,6,300
Time,7,300
Time,8,300
Time,9,300
Time,10,300
Time,12,300
Time,13,300
Time,14,300
Time,15,300
Time,16,300
Time,17,300
Time,18,300
Time,19,300
Time,20,300
Time,22,300
Time,23,300
Time,24,300
Time,25,300
Time,26,300
Time,27,300
